Insert,Search
0.22,0.44
0.07,0.78
0.07,1.29
0.08,1.78
0.06,2.12
0.08,2.54
0.08,2.94
0.08,3.36
0.08,3.55
0.06,4.44
0.22,4.66
0.18,5.11
0.08,5.04
0.08,5.41
0.08,5.88
0.06,5.98
0.07,7.04
0.08,7.68
0.27,8.77
0.14,8.18
0.08,9.49
0.13,8.21
0.06,8.72
0.08,10.51
0.12,9.94
0.08,11.11
0.11,10.88
0.07,10.62
0.1,11.67
0.08,12.56
0.08,16.26
0.11,16.23
0.09,14.92
0.11,15.42
0.08,16.3
0.12,13.95
0.09,14.95
0.17,16.06
0.13,19.89
0.12,20.15
0.06,19.01
0.12,16.14
0.06,17.81
0.1,18.12
0.12,18.46
0.06,17.72
0.1,20.86
0.12,19.67
0.23,20.7
0.14,21.27
0.24,24.27
0.12,21.24
0.11,23.24
0.12,22.44
0.12,27.89
0.14,22.52
0.1,44.91
0.18,23.92
0.12,23.09
0.06,24.62
0.11,53.22
0.12,26.43
0.11,30.78
0.23,26.45
0.12,91.97
0.14,34.18
0.22,26.23
0.06,27.19
0.13,28.42
0.13,35.03
0.13,26.56
0.08,30.25
0.13,28.53
0.07,38.91
0.13,37.9
0.12,36.01
0.14,38.34
0.07,39.9
0.11,34.48
0.1,39.8
0.12,40.31
0.08,35.37
0.13,57.23
0.24,61.06
0.19,35.89
0.13,31.82
0.06,38.17
0.11,35.51
0.12,45
0.09,46.84
0.12,42.38
0.12,49.72
0.13,42.8
0.11,47.75
0.07,43.12
0.12,45.03
0.06,34.37
0.07,42.56
0.13,43.26
0.13,43.56
