Elements,Time
100,33
200,74
300,146
400,244
500,376
600,574
700,715
800,864
900,1051
1000,1341
1100,1606
1200,1719
1300,2051
1400,2253
1500,2546
1600,2929
1700,3186
1800,3599
1900,3900
2000,4498
2100,4759
2200,5638
2300,5585
2400,6105
2500,6879
2600,7137
2700,8465
2800,8400
2900,8906
3000,9462
3100,10020
3200,10241
3300,11067
3400,11919
3500,18551
3600,14669
3700,13695
3800,14728
3900,15401
4000,15956
4100,16505
4200,17444
4300,18339
4400,19019
4500,20321
4600,21397
4700,22359
4800,22952
4900,23289
5000,24401
5100,25018
5200,26641
5300,28507
5400,28655
5500,29993
5600,31270
5700,31229
5800,32404
5900,33770
6000,34360
6100,35561
6200,37099
6300,38053
6400,39350
6500,40367
6600,41488
6700,43498
6800,44163
6900,48061
7000,47035
7100,50501
7200,50773
7300,51969
7400,52932
7500,54005
7600,55325
7700,58288
7800,58514
7900,62329
8000,61492
8100,63078
8200,67298
8300,69564
8400,70511
8500,70190
8600,73035
8700,80135
8800,120487
8900,94263
9000,88368
9100,88044
9200,87532
9300,88342
9400,101415
9500,92427
9600,91343
9700,94674
9800,98614
9900,104878
10000,105070
